review_id,date,user_name,stars,review,product_id,product,reply_by,reply
26998564,2026-03-29,رقیه کاشفی,5,پیگمنت بالا و رنگ های بسیار کاربردی وبسته بندی خوبی داشت ممنون از غرفه دار,39776194,پالت سایه چشم آیگودکو IGOODCO | 35 رنگ با پیگمنت بالا,,
26867482,2026-03-23,لیلا ابراهیمی,5,دستمال فوق العاده عالی و بزرگ,35207480,دستمال مایکروفایبر دوطرفه مخصوص خودرو و سطوح حساس,,
26867478,2026-03-23,لیلا ابراهیمی,5,بهترین مارک مام..من‌همیشه تین مارک میخرم,39172449,مام رول اسکلاره مدل Action Control حجم 120 میلی‌لیتر,,
26847230,2026-03-22,لیلا ابراهیمی,5,پاسخگویی غرفه دار عالی و ارسال سریع.سپاس,37310675,مداد ابرو برسدار مودا (MODA) با ماندگاری بالا و جلوه طبیعی + خرید با بهترین قیمت,علی خلیلی,سلام ممنونم از شما بابت درج نظر
26749786,2026-03-18,آرایشی نازلی💄قبل از ثبت سفارش حتما موجودی بگیرید ,4,,37331567,خمیردندان کلگیت مدل سه کاره حجم 100 میلی‌لیتر,,
26639666,2026-03-15,عسگری,5,خیلی زود به دستم رسید ، ممنون از غرفه دار محترم,38753486,ست گوش پاک کن 6 عددی مدل حرفه‌ای استیل,علی خلیلی,سلام ممنونم از شما بابت درج نظر
26253731,2026-03-02,Mati,5,عالی بود ، واقعا تا 72 ساعت جلوی بوی تعریق بدن رو میگیره,35209616,اسپری ضد تعریق زنانه رکسونا Rexona مدل Cotton Dry روسی,علی خلیلی,ممنونم از ثبت نظر 
24865561,2026-01-22,رقیه رمضانی,5,ممنون از غرفه دار محترم برای پاسخگویی و ارسال سریع,35209601,اسپری ضد تعریق مردانه اسکلاره Sclaree مدل Invisible Ice Fresh,,
29973265,2026-06-15,دوست باسلامی,4,,46499940,پودر فیکس نمکدانی هدی موجی در 4 شماره,,
29973260,2026-06-15,دوست باسلامی,5,,44735168,پد بیوتی بلندر ریل تکنیک Real Techniques اصل,,
29973258,2026-06-15,دوست باسلامی,4,,40835546,ست براش 10 عددی کیفی,,
29973256,2026-06-15,دوست باسلامی,4,,38615116,کرم پودر گابرینی تیوپی مدل Derma اصل,,
29973253,2026-06-15,دوست باسلامی,4,,45914597,پالت کتابی آرایشی 5 صفحه آیگودکو igoodco مدل IG3057,,
29972329,2026-06-15,متین سلامتیان,5,,44183217,استیک ضد تعریق مردانه آمبرلا مدل هیرو من 75 میلی لیتر انقضا 1407,,
29961992,2026-06-15,ترلان حسینی,5,,47702994,اسپری ضد تعریق زنانه داو مدل فلورال تاچ Invisible Care Floral Touch حجم 250 میل تولید هند,,
29958346,2026-06-15,مصیب دولت کردستانی,5,,42765680,ماسک زیر چشم ویتامین سی vitamin C ورقه ای,,
29958306,2026-06-15,مصیب دولت کردستانی,4,,44192758,مام مردانه سورمه ای کلین کامفورت Clean Comfort حجم 75 میل کامان Comeon,,
29958199,2026-06-15,شیخی,5,,44195666,ژل شفاف ضد تعریق زنانه صورتی مدل Refresh Scent حجم 75 میل کامان Comeon,,
29958193,2026-06-15,شیخی,5,,44193983,استیک ضد تعریق زنانه مدل Long Lasting حجم 75 میل کامان Comeon,,
29958188,2026-06-15,شیخی,5,,44192758,مام مردانه سورمه ای کلین کامفورت Clean Comfort حجم 75 میل کامان Comeon,,
29958185,2026-06-15,شیخی,5,,44183217,استیک ضد تعریق مردانه آمبرلا مدل هیرو من 75 میلی لیتر انقضا 1407,,
29958182,2026-06-15,شیخی,5,,44181323,استیک ضد تعریق زنانه آمبرلا مدل وایت اسموت Smoth حجم 75 میلی لیتر انقضا 1407,,
29958181,2026-06-15,شیخی,5,,44179033,استیک زنانه آمبرلا مدل انرژی فرش Energy Fresh حجم 75 میلی لیتر انقضا 1407,,
29958178,2026-06-15,شیخی,5,,44162475,استیک ضد تعریق زنانه آمبرلا مدل سافت کلییر Soft clear حجم 75 میلی لیتر تاریخ انقضا 1407,,
29958174,2026-06-15,شیخی,5,,44160971,استیک ضد تعریق مردانه آمبرلا Total Care حجم 75 میل انقضا 1407,,
29957319,2026-06-15,صفیه حسینخانی,5,,44596703,دهانشویه نعنا پک 20 عددی سادور Sadoer,,
29957314,2026-06-15,صفیه حسینخانی,5,,39898323,پک بالم لب میوهای 4 عددی مرطوبکننده و رفع خشکی لب,,
29957312,2026-06-15,صفیه حسینخانی,5,,44936957,ریمل مکس ولوم حجم دهنده و بلند کننده 12 میل ضد آب اصل,,
29957306,2026-06-15,صفیه حسینخانی,5,,44746272,ریمل الماسی هدی موجی huda moji 20 میل,,
29957303,2026-06-15,صفیه حسینخانی,3,,42787116,خط چشم مویی مشکی مات ضد آب 10 میل,,
29957296,2026-06-15,صفیه حسینخانی,4,,42242035,رژگونه استیکی اولیبولا olibolla در 6 رنگ,,
